GEO_ID,NAME,DP05_0033E
36005026300,"Census Tract 263, Bronx County, New York",6015
36005026400,"Census Tract 264, Bronx County, New York",5398
36005026500,"Census Tract 265, Bronx County, New York",7615
36005026601,"Census Tract 266.01, Bronx County, New York",3352
36005026602,"Census Tract 266.02, Bronx County, New York",5207
36005026701,"Census Tract 267.01, Bronx County, New York",4237
36005026702,"Census Tract 267.02, Bronx County, New York",7221
36005026900,"Census Tract 269, Bronx County, New York",3364
36005027300,"Census Tract 273, Bronx County, New York",7895
36005027401,"Census Tract 274.01, Bronx County, New York",4829
36005027402,"Census Tract 274.02, Bronx County, New York",3450
36005027600,"Census Tract 276, Bronx County, New York",4
36005027700,"Census Tract 277, Bronx County, New York",4883
36005027900,"Census Tract 279, Bronx County, New York",7035
36005028100,"Census Tract 281, Bronx County, New York",4236
36005028300,"Census Tract 283, Bronx County, New York",2618
36005028400,"Census Tract 284, Bronx County, New York",598
36005028500,"Census Tract 285, Bronx County, New York",3527
36005028600,"Census Tract 286, Bronx County, New York",1116
36005028700,"Census Tract 287, Bronx County, New York",3000
36005028800,"Census Tract 288, Bronx County, New York",3288
36005028900,"Census Tract 289, Bronx County, New York",4773
36005029301,"Census Tract 293.01, Bronx County, New York",1842
36005029302,"Census Tract 293.02, Bronx County, New York",5767
36005029500,"Census Tract 295, Bronx County, New York",4649
36005029600,"Census Tract 296, Bronx County, New York",1592
36005029700,"Census Tract 297, Bronx County, New York",3727
36005030000,"Census Tract 300, Bronx County, New York",6003
36005030100,"Census Tract 301, Bronx County, New York",1392
36005030200,"Census Tract 302, Bronx County, New York",9213
36005030701,"Census Tract 307.01, Bronx County, New York",5617
36005030900,"Census Tract 309, Bronx County, New York",3703
36005031000,"Census Tract 310, Bronx County, New York",4776
36005031200,"Census Tract 312, Bronx County, New York",1598
36005031400,"Census Tract 314, Bronx County, New York",2209
36005031600,"Census Tract 316, Bronx County, New York",1910
36005031800,"Census Tract 318, Bronx County, New York",1987
36005031900,"Census Tract 319, Bronx County, New York",636
36005032300,"Census Tract 323, Bronx County, New York",4400
36005032400,"Census Tract 324, Bronx County, New York",3696
36005032600,"Census Tract 326, Bronx County, New York",3859
36005032800,"Census Tract 328, Bronx County, New York",3982
36005033000,"Census Tract 330, Bronx County, New York",5885
36005033201,"Census Tract 332.01, Bronx County, New York",5305
36005033202,"Census Tract 332.02, Bronx County, New York",4218
36005033400,"Census Tract 334, Bronx County, New York",72
36005033500,"Census Tract 335, Bronx County, New York",2011
36005033600,"Census Tract 336, Bronx County, New York",6697
36005033700,"Census Tract 337, Bronx County, New York",2381
36005033800,"Census Tract 338, Bronx County, New York",4176
36005034000,"Census Tract 340, Bronx County, New York",5464
36005034200,"Census Tract 342, Bronx County, New York",1982
36005034300,"Census Tract 343, Bronx County, New York",1680
36005034400,"Census Tract 344, Bronx County, New York",2127
36005034500,"Census Tract 345, Bronx County, New York",3357
36005034800,"Census Tract 348, Bronx County, New York",6318
36005035000,"Census Tract 350, Bronx County, New York",2078
36005035100,"Census Tract 351, Bronx County, New York",3766
36005035600,"Census Tract 356, Bronx County, New York",2143
36005035800,"Census Tract 358, Bronx County, New York",8054
36005035900,"Census Tract 359, Bronx County, New York",1975
36005036000,"Census Tract 360, Bronx County, New York",3149
36005036100,"Census Tract 361, Bronx County, New York",5547
36005036300,"Census Tract 363, Bronx County, New York",7735
36005036400,"Census Tract 364, Bronx County, New York",2688
36005036501,"Census Tract 365.01, Bronx County, New York",3705
